,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,label,path
0,241436001,241436,Fix it tote bag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Soft handbag in imitation leather with two handles, a zip and a detachable shoulder strap at the top, and three inner compartments, one with a zip. Lined. Size 27x31 cm.",bag,bag/0241436001.jpg
1,241436006,241436,Fix it tote bag,66,Bag,Accessories,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Soft handbag in imitation leather with two handles, a zip and a detachable shoulder strap at the top, and three inner compartments, one with a zip. Lined. Size 27x31 cm.",bag,bag/0241436006.jpg
2,289834016,289834,FANTASTIC SHOPPER,66,Bag,Accessories,1010014,Placement print,11,Off White,1,Dusty Light,9,White,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Tote bag in a cotton weave with a print motif and two handles at the top. Size 35x41 cm.,bag,bag/0289834016.jpg
3,360295023,360295,Kardashian shopper,66,Bag,Accessories,1010016,Solid,8,Dark Grey,4,Dark,12,Grey,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Soft shopper with two handles and a magnetic fastener at the top, and one zipped inner compartment. Size 19x30x39 cm.",bag,bag/0360295023.jpg
4,380894037,380894,Chlo̩ cosmetic bag,66,Bag,Accessories,1010011,Metallic,61,Light Purple,1,Dusty Light,4,Pink,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Make-up bag in imitation leather with a zip at the top with a tassel. Lined. Size 6x10.5x18.5 cm.,bag,bag/0380894037.jpg
5,382468007,382468,Backpack Oliver,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,7388,Bags & Items,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,"Backpack in woven fabric with a handle and adjustable, padded shoulder straps. Zip at the top, a zipped outer compartment, a zipped inner compartment and a padded back plate. Lined. Size 14x30x42 cm.",bag,bag/0382468007.jpg
6,386678001,386678,Big Arjuna crossbag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shoulder bag in grained imitation leather with a narrow, adjustable shoulder strap, flap with a zip, and a zipped inner compartment. Lined. Size 8x18x23 cm.",bag,bag/0386678001.jpg
7,386678003,386678,Big Arjuna crossbag,66,Bag,Accessories,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shoulder bag in grained imitation leather with a narrow, adjustable shoulder strap, flap with a zip, and a zipped inner compartment. Lined. Size 8x18x23 cm.",bag,bag/0386678003.jpg
8,386681012,386681,Mini Cross Bag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Small bag with a narrow shoulder strap and a zip at the top. Lined. Size 16x22 cm.,bag,bag/0386681012.jpg
9,386681013,386681,Mini cross bag,66,Bag,Accessories,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Small bag with a narrow shoulder strap and a zip at the top. Lined. Size 16x22 cm.,bag,bag/0386681013.jpg
10,386681014,386681,Mini cross bag,66,Bag,Accessories,1010016,Solid,10,White,3,Light,9,White,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Small bag with a narrow shoulder strap and a zip at the top. Lined. Size 16x22 cm.,bag,bag/0386681014.jpg
11,386681016,386681,Mini Cross Bag,66,Bag,Accessories,1010016,Solid,3,Silver,3,Light,15,Metal,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Small bag with a narrow shoulder strap and a zip at the top. Lined. Size 16x22 cm.,bag,bag/0386681016.jpg
12,386681018,386681,Mini cross bag,66,Bag,Accessories,1010016,Solid,33,Dark Orange,2,Medium Dusty,13,Brown,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Small bag with a narrow shoulder strap and a zip at the top. Lined. Size 16x22 cm.,bag,bag/0386681018.jpg
13,386695004,386695,Penny leather cross,66,Bag,Accessories,1010016,Solid,6,Light Grey,1,Dusty Light,12,Grey,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Small bag in embossed suede with a metal chain shoulder strap and flap with a magnetic fastener. Lined. Size 8x11x14 cm.,bag,bag/0386695004.jpg
14,387444006,387444,Petit cross bag (1),66,Bag,Accessories,1010016,Solid,42,Red,5,Bright,18,Red,1920,Small Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Small bag in grained imitation leather with a zip at the top and a narrow shoulder strap with chain fastening. Lined. Size 3x14.5x21 cm.,bag,bag/0387444006.jpg
15,392126003,392126,Claesson Leather Weekend,66,Bag,Accessories,1010016,Solid,17,Yellowish Brown,4,Dark,13,Brown,7388,Bags & Items,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,"Leather weekend bag with two handles and a zip at the top, one handle with a detachable address tag. Detachable adjustable shoulder strap with a padded section. One zipped inner compartment, and studs on the base. Lined. Size approx. 22x27x48 cm.",bag,bag/0392126003.jpg
16,392203001,392203,Vera backpack,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Backpack in grained imitation leather with narrow adjustable shoulder straps and a handle and drawstring at the top. Unlined. Size 15x28x35 cm.,bag,bag/0392203001.jpg
17,408045009,408045,Sickan Shopper,66,Bag,Accessories,1010020,Contrast,3,Silver,3,Light,15,Metal,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Soft, block-coloured shopper with two handles and a concealed magnetic fastener at the top. Unlined. Size 9x27x39 cm.",bag,bag/0408045009.jpg
18,420378005,420378,Leia lap top case,66,Bag,Accessories,1010011,Metallic,61,Light Purple,3,Light,6,Lilac Purple,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Laptop sleeve with a zip at the top. Lined. Size 2x26x34 cm. Fits laptops up to 13"".",bag,bag/0420378005.jpg
