,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,label,path
0,192960023,192960,Neo running beanie,75,Hat/beanie,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,8560,Men Sport Acc,S,Sport,26,Sport,22,Men H&M Sport,1019,Accessories,"Lightweight, double-layered running hat in fast-drying, breathable functional fabric with a reflective print.",hat,hat/0192960023.jpg
1,204892032,204892,Frode outdoor beanie,75,Hat/beanie,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,8560,Men Sport Acc,S,Sport,26,Sport,22,Men H&M Sport,1019,Accessories,Outdoor hat in breathable thermal fleece.,hat,hat/0204892032.jpg
2,224314007,224314,Pinocchio hat,75,Hat/beanie,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3519,Gloves/Hats,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Cable-knit hat with a faux fur pompom.,hat,hat/0224314007.jpg
3,224314011,224314,Pinocchio hat,75,Hat/beanie,Accessories,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,3519,Gloves/Hats,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Cable-knit hat with a faux fur pompom.,hat,hat/0224314011.jpg
4,224314013,224314,Pinocchio hat,75,Hat/beanie,Accessories,1010016,Solid,13,Beige,2,Medium Dusty,1,Mole,3519,Gloves/Hats,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Cable-knit hat with a faux fur pompom.,hat,hat/0224314013.jpg
5,224314016,224314,Pinocchio hat,75,Hat/beanie,Accessories,1010010,Melange,13,Beige,2,Medium Dusty,1,Mole,3519,Gloves/Hats,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Cable-knit hat with a faux fur pompom.,hat,hat/0224314016.jpg
6,224314017,224314,Pinocchio hat,75,Hat/beanie,Accessories,1010010,Melange,6,Light Grey,1,Dusty Light,12,Grey,3519,Gloves/Hats,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Cable-knit hat with a faux fur pompom.,hat,hat/0224314017.jpg
7,224314018,224314,Pinocchio hat,75,Hat/beanie,Accessories,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,3519,Gloves/Hats,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Cable-knit hat with a faux fur pompom.,hat,hat/0224314018.jpg
8,245348002,245348,Santa Hat,75,Hat/beanie,Accessories,1010014,Placement print,42,Red,7,Medium,18,Red,9985,Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,"Fine-knit hat with a pompom on top, a turned-up hem with a text motif, and a detachable pile beard.",hat,hat/0245348002.jpg
9,292551001,292551,SOFIE BEANIE,75,Hat/beanie,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Hat in a soft double knit.,hat,hat/0292551001.jpg
