,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,label,path
0,181160009,181160,Eva chelsea boot,87,Boots,Shoes,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3929,Divided Shoes,D,Divided,2,Divided,52,Divided Accessories,1020,Shoes,Chelsea boots with elasticated gores in the sides and rubber soles.,shoe,shoe/0181160009.jpg
1,212042036,212042,Mimmi sneaker,94,Sneakers,Shoes,1010016,Solid,1,Other,6,Undefined,14,undefined,3929,Divided Shoes,D,Divided,2,Divided,52,Divided Accessories,1020,Shoes,Cotton trainers with closed lacing and a loop at the back. Fabric linings and insoles and rubber soles.,shoe,shoe/0212042036.jpg
2,212042070,212042,Mimmi sneaker,94,Sneakers,Shoes,1010016,Solid,10,White,3,Light,9,White,3929,Divided Shoes,D,Divided,2,Divided,52,Divided Accessories,1020,Shoes,Cotton trainers with closed lacing and a loop at the back. Fabric linings and insoles and rubber soles.,shoe,shoe/0212042070.jpg
3,258650001,258650,Berlin boot,87,Boots,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3929,Divided Shoes,D,Divided,2,Divided,52,Divided Accessories,1020,Shoes,"Ankle boots in imitation suede with elastic gores in the sides, fabric linings and insoles and rubber soles. Heel 6.5 cm.",shoe,shoe/0258650001.jpg
4,264713001,264713,Al Car Shoe,89,Other shoe,Shoes,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,3630,Shoes / Boots inactive from s5,F,Menswear,3,Menswear,27,Men Shoes,1020,Shoes,"Loafers in imitation suede with moccasin seams, decorative laces, fabric linings and insoles and rubber soles.",shoe,shoe/0264713001.jpg
5,264713028,264713,Al Car Shoe,89,Other shoe,Shoes,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3630,Shoes / Boots inactive from s5,F,Menswear,3,Menswear,27,Men Shoes,1020,Shoes,"Loafers in imitation suede with moccasin seams, decorative laces, fabric linings and insoles and rubber soles.",shoe,shoe/0264713028.jpg
6,320880001,320880,JOAN SUEDE BOOT,87,Boots,Shoes,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3929,Divided Shoes,D,Divided,2,Divided,52,Divided Accessories,1020,Shoes,"Ankle boots in suede with a loop at the top of each side, warm pile lining and insoles and rubber soles.",shoe,shoe/0320880001.jpg
7,331072001,331072,Kobe boot,87,Boots,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3630,Shoes / Boots inactive from s5,F,Menswear,3,Menswear,27,Men Shoes,1020,Shoes,"Chelsea boots with elastic gores in the sides, cotton canvas linings and insoles and rubber soles. Heel 2.5 cm.",shoe,shoe/0331072001.jpg
8,331072005,331072,Kobe Low Chelsea Boot,87,Boots,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3630,Shoes / Boots inactive from s5,F,Menswear,3,Menswear,27,Men Shoes,1020,Shoes,"Chelsea boots with elastic gores in the sides, cotton canvas linings and insoles and rubber soles. Heel 2.5 cm.",shoe,shoe/0331072005.jpg
9,354307004,354307,Akoni Flatshoe,89,Other shoe,Shoes,1010016,Solid,15,Greyish Beige,2,Medium Dusty,1,Mole,3630,Shoes / Boots inactive from s5,F,Menswear,3,Menswear,27,Men Shoes,1020,Shoes,"Derby shoes with open lacing, fabric insoles, and imitation leather and fabric linings. Rubber soles.",shoe,shoe/0354307004.jpg
10,354307008,354307,Akoni Flatshoe,89,Other shoe,Shoes,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3630,Shoes / Boots inactive from s5,F,Menswear,3,Menswear,27,Men Shoes,1020,Shoes,"Derby shoes with open lacing, fabric insoles, and imitation leather and fabric linings. Rubber soles.",shoe,shoe/0354307008.jpg
11,365592009,365592,MIKKI SLIP ON SNEAKER,94,Sneakers,Shoes,1010016,Solid,10,White,3,Light,9,White,3929,Divided Shoes,D,Divided,2,Divided,52,Divided Accessories,1020,Shoes,"Slip-on trainers with elastic gores in the sides, a loop at the back, fabric linings and insoles and rubber soles.",shoe,shoe/0365592009.jpg
12,401729001,401729,CHRISTINA BOOT (1),87,Boots,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3929,Divided Shoes,D,Divided,2,Divided,52,Divided Accessories,1020,Shoes,"Ankle boots with lacing at the front, a loop at the back, fabric linings, imitation leather insoles and chunky rubber soles. Platform front 2 cm, heel 4.5 cm.",shoe,shoe/0401729001.jpg
13,401729003,401729,CHRISTINA BOOT,87,Boots,Shoes,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,3929,Divided Shoes,D,Divided,2,Divided,52,Divided Accessories,1020,Shoes,"Ankle boots with lacing at the front, a loop at the back, fabric linings, imitation leather insoles and chunky rubber soles. Platform front 2 cm, heel 4.5 cm.",shoe,shoe/0401729003.jpg
14,411499001,411499,Emil Derby Shoe,89,Other shoe,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3630,Shoes / Boots inactive from s5,F,Menswear,3,Menswear,27,Men Shoes,1020,Shoes,Derby shoes in imitation leather with open lacing and pointed toes. Fabric linings and insoles and rubber soles. Heel approx. 3 cm.,shoe,shoe/0411499001.jpg
15,411499006,411499,Emil (1),89,Other shoe,Shoes,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,3630,Shoes / Boots inactive from s5,F,Menswear,3,Menswear,27,Men Shoes,1020,Shoes,Derby shoes in imitation leather with open lacing and pointed toes. Fabric linings and insoles and rubber soles. Heel approx. 3 cm.,shoe,shoe/0411499006.jpg
16,411974005,411974,OL BLIXTEN PQ sneaker,94,Sneakers,Shoes,1010016,Solid,6,Light Grey,1,Dusty Light,12,Grey,3040,Premium Quality,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Trainers with lacing at the front, mesh linings, cotton twill insoles and rubber soles.",shoe,shoe/0411974005.jpg
17,420049002,420049,OL TAGE PQ,87,Boots,Shoes,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3040,Premium Quality,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,,shoe,shoe/0420049002.jpg
18,420049003,420049,OL TAGE PQ,87,Boots,Shoes,1010016,Solid,23,Dark Yellow,4,Dark,11,Beige,3040,Premium Quality,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,,shoe,shoe/0420049003.jpg
19,437668014,437668,Ethan,89,Other shoe,Shoes,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,3630,Shoes / Boots inactive from s5,F,Menswear,3,Menswear,27,Men Shoes,1020,Shoes,Derby shoes with open lacing at the front. Fabric linings and insoles and rubber soles. Heel 2.5 cm.,shoe,shoe/0437668014.jpg
20,437668015,437668,Ethan,89,Other shoe,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3630,Shoes / Boots inactive from s5,F,Menswear,3,Menswear,27,Men Shoes,1020,Shoes,Derby shoes with open lacing at the front. Fabric linings and insoles and rubber soles. Heel 2.5 cm.,shoe,shoe/0437668015.jpg
21,438702001,438702,LENA SNEAKER,94,Sneakers,Shoes,1010016,Solid,10,White,3,Light,9,White,3929,Divided Shoes,D,Divided,2,Divided,52,Divided Accessories,1020,Shoes,"Trainers in imitation leather with lacing at the front, a loop at the back, canvas linings and insoles and rubber soles.",shoe,shoe/0438702001.jpg
22,438702007,438702,LENA SNEAKER,94,Sneakers,Shoes,1010011,Metallic,51,Light Pink,1,Dusty Light,4,Pink,3929,Divided Shoes,D,Divided,2,Divided,52,Divided Accessories,1020,Shoes,"Trainers in imitation leather with lacing at the front, a loop at the back, canvas linings and insoles and rubber soles.",shoe,shoe/0438702007.jpg
