,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,label,path
0,199119038,199119,Basic shorts,274,Shorts,Garment Lower body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Shorts in soft organic cotton jersey with elastication and ties at the waist.,shorts,shorts/0199119038.jpg
1,242354009,242354,CALVIN running shorts,274,Shorts,Garment Lower body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,8394,Men Sport Bottoms,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Short running shorts in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist, perforated side sections, a key pocket at the back with a concealed zip, and reflective details. Lined with short tights. Regular fit.",shorts,shorts/0242354009.jpg
2,250457010,250457,Brandon denim cropped,274,Shorts,Garment Lower body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,5658,Shorts,F,Menswear,3,Menswear,21,Contemporary Casual,1025,Shorts,"5-pocket knee-length shorts in washed denim with hard-worn details, a regular waist and button fly.",shorts,shorts/0250457010.jpg
3,275362021,275362,Jersey harem shorts,274,Shorts,Garment Lower body,1010016,Solid,13,Beige,1,Dusty Light,1,Mole,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Knee-length shorts in sweatshirt fabric with a low crotch, elasticated drawstring waist, side pockets, back pockets and ribbed hems.",shorts,shorts/0275362021.jpg
4,275362022,275362,Jersey harem shorts,274,Shorts,Garment Lower body,1010016,Solid,8,Dark Grey,4,Dark,5,Black,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Knee-length shorts in sweatshirt fabric with a low crotch, elasticated drawstring waist, side pockets, back pockets and ribbed hems.",shorts,shorts/0275362022.jpg
5,297796002,297796,Spearmint shorts,274,Shorts,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,5-pocket shorts in washed stretch twill with a regular waist and sewn-in turn-ups at the hems.,shorts,shorts/0297796002.jpg
6,301364029,301364,Ozzy,274,Shorts,Garment Lower body,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,1745,Shorts,D,Divided,2,Divided,53,Divided Collection,1025,Shorts,"Shorts in superstretch twill with a high waist, back pockets and sewn-in turn-ups at the hems.",shorts,shorts/0301364029.jpg
7,305304008,305304,Boy Denim Shorts,274,Shorts,Garment Lower body,1010016,Solid,71,Light Blue,1,Dusty Light,2,Blue,1745,Shorts,D,Divided,2,Divided,53,Divided Collection,1025,Shorts,"5-pocket, low-rise shorts in washed denim with hard-worn details, a button fly and sewn-in turn-ups at the hems.",shorts,shorts/0305304008.jpg
8,305304010,305304,Boy Denim Shorts,274,Shorts,Garment Lower body,1010016,Solid,72,Blue,2,Medium Dusty,2,Blue,1745,Shorts,D,Divided,2,Divided,53,Divided Collection,1025,Shorts,"5-pocket, low-rise shorts in washed denim with hard-worn details, a button fly and sewn-in turn-ups at the hems.",shorts,shorts/0305304010.jpg
9,305304019,305304,Boy Denim Shorts,274,Shorts,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1745,Shorts,D,Divided,2,Divided,53,Divided Collection,1025,Shorts,"5-pocket, low-rise shorts in washed denim with hard-worn details, a button fly and sewn-in turn-ups at the hems.",shorts,shorts/0305304019.jpg
10,305304020,305304,Boy Denim Shorts,274,Shorts,Garment Lower body,1010016,Solid,72,Blue,2,Medium Dusty,2,Blue,1745,Shorts,D,Divided,2,Divided,53,Divided Collection,1025,Shorts,"5-pocket, low-rise shorts in washed denim with hard-worn details, a button fly and sewn-in turn-ups at the hems.",shorts,shorts/0305304020.jpg
11,307656008,307656,Maria Shorts,274,Shorts,Garment Lower body,1010010,Melange,73,Dark Blue,4,Dark,2,Blue,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Short shorts in sweatshirt fabric with an elasticated drawstring waist and sewn-in turn-ups at the hems.,shorts,shorts/0307656008.jpg
12,307656018,307656,Maria Shorts,274,Shorts,Garment Lower body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Short shorts in sweatshirt fabric with an elasticated drawstring waist and sewn-in turn-ups at the hems.,shorts,shorts/0307656018.jpg
