,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,label,path
0,189626001,189626,Jodi skirt,275,Skirt,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Short, bell-shaped skirt in stretch jersey with wide elastication at the waist. Unlined.",skirt,skirt/0189626001.jpg
1,189654001,189654,Raven skirt,275,Skirt,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Short jersey skirt with an elasticated waist.,skirt,skirt/0189654001.jpg
2,189654045,189654,Raven skirt,275,Skirt,Garment Lower body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Short jersey skirt with an elasticated waist.,skirt,skirt/0189654045.jpg
3,189654046,189654,Raven skirt,275,Skirt,Garment Lower body,1010016,Solid,42,Red,7,Medium,18,Red,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Short jersey skirt with an elasticated waist.,skirt,skirt/0189654046.jpg
4,189654047,189654,Raven skirt,275,Skirt,Garment Lower body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Short jersey skirt with an elasticated waist.,skirt,skirt/0189654047.jpg
5,317812001,317812,LOLLY SKIRT (1),275,Skirt,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Skater skirt in cotton jersey with an elasticated waist.,skirt,skirt/0317812001.jpg
6,317812011,317812,LOLLY SKIRT (1),275,Skirt,Garment Lower body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Skater skirt in cotton jersey with an elasticated waist.,skirt,skirt/0317812011.jpg
7,317812012,317812,LOLLY SKIRT (1),275,Skirt,Garment Lower body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Skater skirt in cotton jersey with an elasticated waist.,skirt,skirt/0317812012.jpg
8,327310001,327310,Alicia wrap skirt,275,Skirt,Garment Lower body,1010010,Melange,6,Light Grey,1,Dusty Light,12,Grey,1444,Skirts,D,Divided,2,Divided,53,Divided Collection,1012,Skirts,"Short jersey skirt with a draped, wrapover front and concealed elastication at the waist.",skirt,skirt/0327310001.jpg
9,327310002,327310,Alicia wrap skirt,275,Skirt,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1444,Skirts,D,Divided,2,Divided,53,Divided Collection,1012,Skirts,"Short jersey skirt with a draped, wrapover front and concealed elastication at the waist.",skirt,skirt/0327310002.jpg
