,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,label,path
0,215303001,215303,Coolio sunglasses,81,Sunglasses,Accessories,1010016,Solid,17,Yellowish Brown,4,Dark,13,Brown,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses.",sunglass,sunglass/0215303001.jpg
1,215303002,215303,Coolio sunglasses,81,Sunglasses,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses.",sunglass,sunglass/0215303002.jpg
2,215303005,215303,Coolio sunglasses,81,Sunglasses,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses.",sunglass,sunglass/0215303005.jpg
3,220365001,220365,Cool Olja round,81,Sunglasses,Accessories,1010016,Solid,17,Yellowish Brown,4,Dark,13,Brown,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames, metal sidepieces and tinted, UV-protective lenses.",sunglass,sunglass/0220365001.jpg
4,220365002,220365,Olja sunglasses,81,Sunglasses,Accessories,1010016,Solid,31,Light Orange,3,Light,3,Orange,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames, metal sidepieces and tinted, UV-protective lenses.",sunglass,sunglass/0220365002.jpg
5,220365004,220365,Olja sunglasses,81,Sunglasses,Accessories,1010016,Solid,93,Dark Green,4,Dark,19,Green,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames, metal sidepieces and tinted, UV-protective lenses.",sunglass,sunglass/0220365004.jpg
6,220365007,220365,Cool Olja round,81,Sunglasses,Accessories,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames, metal sidepieces and tinted, UV-protective lenses.",sunglass,sunglass/0220365007.jpg
7,268305001,268305,Kattis cat sunglasses,81,Sunglasses,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Sunglasses with plastic frames and tinted lenses. UV-protective.,sunglass,sunglass/0268305001.jpg
8,268305007,268305,Kattis cat sunglasses,81,Sunglasses,Accessories,1010016,Solid,13,Beige,2,Medium Dusty,1,Mole,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Sunglasses with plastic frames and tinted lenses. UV-protective.,sunglass,sunglass/0268305007.jpg
9,268305008,268305,Kattis cat sunglasses,81,Sunglasses,Accessories,1010019,Transparent,19,Greenish Khaki,4,Dark,20,Khaki green,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Sunglasses with plastic frames and tinted lenses. UV-protective.,sunglass,sunglass/0268305008.jpg
10,270375001,270375,Sandra squared,81,Sunglasses,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses.",sunglass,sunglass/0270375001.jpg
11,270375004,270375,Sandra squared,81,Sunglasses,Accessories,1010016,Solid,13,Beige,1,Dusty Light,11,Beige,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses.",sunglass,sunglass/0270375004.jpg
12,270375005,270375,Sandra squared,81,Sunglasses,Accessories,1010001,All over pattern,17,Yellowish Brown,4,Dark,13,Brown,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses.",sunglass,sunglass/0270375005.jpg
13,270375006,270375,Sandra squared,81,Sunglasses,Accessories,1010010,Melange,12,Light Beige,1,Dusty Light,9,White,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses.",sunglass,sunglass/0270375006.jpg
14,270381001,270381,Clubba sunglasses,81,Sunglasses,Accessories,1010016,Solid,17,Yellowish Brown,4,Dark,13,Brown,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic and metal frames and tinted, UV-protective lenses.",sunglass,sunglass/0270381001.jpg
15,270381003,270381,Clubba sunglasses,81,Sunglasses,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic and metal frames and tinted, UV-protective lenses.",sunglass,sunglass/0270381003.jpg
16,270381004,270381,Classic Clubba,81,Sunglasses,Accessories,1010016,Solid,5,Gold,5,Bright,15,Metal,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic and metal frames and tinted, UV-protective lenses.",sunglass,sunglass/0270381004.jpg
17,270381007,270381,Clubba sunglasses,81,Sunglasses,Accessories,1010016,Solid,52,Pink,2,Medium Dusty,4,Pink,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic and metal frames and tinted, UV-protective lenses.",sunglass,sunglass/0270381007.jpg
18,270381011,270381,Classic Clubba,81,Sunglasses,Accessories,1010016,Solid,32,Orange,5,Bright,3,Orange,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic and metal frames and tinted, UV-protective lenses.",sunglass,sunglass/0270381011.jpg
19,270381013,270381,Clubba sunglasses,81,Sunglasses,Accessories,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic and metal frames and tinted, UV-protective lenses.",sunglass,sunglass/0270381013.jpg
